Predicted parameter,Status,Model type,Input parameters,Train rows,Test rows,RMSE,MAE,MAPE_%,R2
Quench_tower_overhead_temp,Trained,data model,"Quench_tower_Top_Reflux_Temp, Cooling_water_supply_temp",6414.0,1604.0,0.2212,0.1705,0.44,0.9976
CGC_STAGE_1_SUCTION_PRESSURE,Trained,data model,"DMCTF_feed, Cooling_water_supply_temp, Quench_tower_overhead_temp, CGC_TURBINE_1_SPEED_(RPM), CGC_TURBINE_2_SPEED_(RPM), Average_interstage_differential_pressure",6414.0,1604.0,2.3934,1.7576,2.01,0.9655
Coil_Avg_COT,Simulation (no BULK_SIMULATION function registered for it),first principle,,,,,,,
CGC_5TH_STG_DISCH_PRES,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE",6414.0,1604.0,23.1186,15.792,0.41,0.8175
CGC_Power_KW,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE, CGC_5TH_STG_DISCH_PRES, CGC_TURBINE_1_SPEED_(RPM), Cooling_water_supply_temp",6414.0,1604.0,312.9061,234.0108,0.59,0.9462
CGC_Turbine_HP_Steam_flow,Trained,data model,"DMCTF_feed, Average_interstage_differential_pressure, CGC_Power_KW",6414.0,1604.0,7.0902,5.8847,2.82,0.9096
CHG_GAS_FLOW_TO_DRYER,Trained,data model,DMCTF_feed,6414.0,1604.0,1.5281,1.1464,0.59,0.9507
PRC_1ST_STAGE_Suction_FLOW,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE, CGC_5TH_STG_DISCH_PRES, PRC_turbine_RPM",6414.0,1604.0,4.0122,2.7637,0.6,0.9158
PRC_1ST_STAGE_Suction_PRESSURE,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE, CGC_5TH_STG_DISCH_PRES, PRC_turbine_RPM",6414.0,1604.0,0.259,0.2035,0.78,0.9233
PRC_2nd_stage_drum_Overhead_Flow,Trained,data model,"DMCTF_feed, Avg_MW, PRC_1ST_STAGE_Suction_FLOW, PRC_1ST_STAGE_Suction_PRESSURE, PRC_turbine_RPM, PRC_1ST_STAGE_Suction_TEMP",6414.0,1604.0,4.8004,3.8956,1.58,0.7808
PRC_Total_estimated_power_MW,Simulated (bulk first-principle formula),first principle,,,,,,,
ERC_2nd_stage_drum_Overhead_Flow,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE, CGC_5TH_STG_DISCH_PRES, ERC_turbine_Speed, Avg_MW, PRC_1ST_STAGE_Suction_FLOW",6414.0,1604.0,1.7009,1.3372,2.57,0.7287
ERC_turbine_steam_flow,Trained,data model,"DMCTF_feed, CGC_5TH_STG_DISCH_PRES, ERC_2nd_stage_drum_Overhead_Flow, ERC_turbine_Speed",6414.0,1604.0,0.7283,0.583,1.42,0.8809
ERC_power,Trained,data model,"DMCTF_feed, ERC_turbine_steam_flow",6414.0,1604.0,68.621,42.6255,0.45,0.982
ERC_1ST_STAGE_Suction_FLOW,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE, CGC_5TH_STG_DISCH_PRES, ERC_turbine_Speed, ERC_turbine_steam_flow",6414.0,1604.0,0.6549,0.5155,2.12,0.7142
ERC_1ST_STAGE_Suction_PRESSURE,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE, CGC_5TH_STG_DISCH_PRES, ERC_turbine_Speed, ERC_turbine_steam_flow, Cooling_water_supply_temp",6414.0,1604.0,2.1764,1.7416,12.19,0.7668
TOTAL_ETHYLENE_LOSS_to_fuel,Trained,data model,"DMCTF_feed, Demeth_No2_feed_flow, Demeth_tower_pressure_control_OP, PRC_1ST_STAGE_Suction_PRESSURE, Demeth_Overhead_temp, Demeth_tower_reflux_temp, Demeth_feed_separator_OH_valve_opening, Fresh_ethane_feed",6414.0,1604.0,0.1952,0.1382,16.19,0.5822
Ethylene_product_flow,Trained,data model,"DMCTF_feed, CGC_STAGE_1_SUCTION_PRESSURE, CGC_5TH_STG_DISCH_PRES, PRC_1ST_STAGE_Suction_PRESSURE, PRC_2nd_stage_drum_Overhead_Flow, Fresh_ethane_feed",6414.0,1604.0,1.1986,0.8436,0.91,0.9042
